LSOA11CD,LAD11CD
E01001053,E09000008
E01001054,E09000008
E01001055,E09000008
E01001056,E09000008
E01001057,E09000008
E01001058,E09000008
E01001059,E09000008
E01001060,E09000008
E01001061,E09000008
E01001062,E09000008
E01001063,E09000008
E01001064,E09000008
E01001065,E09000008
E01001066,E09000008
E01001067,E09000008
E01001068,E09000008
E01001069,E09000008
E01001070,E09000008
E01001071,E09000008
E01001072,E09000008
E01001073,E09000008
E01001074,E09000008
E01001075,E09000008
E01001076,E09000008
E01001077,E09000008
E01001078,E09000008
E01001079,E09000008
E01001080,E09000008
E01001081,E09000008
E01001082,E09000008
E01001083,E09000008
E01001084,E09000008
E01001085,E09000008
E01001086,E09000008
E01001087,E09000008
E01001088,E09000008
E01001089,E09000008
E01001090,E09000008
E01001091,E09000008
E01001092,E09000008
E01001093,E09000008
E01001094,E09000008
E01001095,E09000008
E01001096,E09000008
E01001097,E09000008
E01001098,E09000008
E01001099,E09000008
E01001100,E09000008
E01001101,E09000008
E01001102,E09000008
E01001103,E09000008
E01001104,E09000008
E01001105,E09000008
E01001106,E09000008
E01001107,E09000008
E01001108,E09000008
E01001109,E09000008
E01001110,E09000008
E01001111,E09000008
E01001112,E09000008
E01001113,E09000008
E01001114,E09000008
E01001115,E09000008
E01001116,E09000008
E01001117,E09000008
E01001118,E09000008
E01001119,E09000008
E01001120,E09000008
E01001121,E09000008
E01001122,E09000008
E01001123,E09000008
E01001124,E09000008
E01001125,E09000008
E01001126,E09000008
E01001127,E09000008
E01001128,E09000008
E01001129,E09000008
E01001130,E09000008
E01001131,E09000008
E01001132,E09000008
E01001133,E09000008
E01001134,E09000008
E01001135,E09000008
E01001136,E09000008
E01001137,E09000008
E01001138,E09000008
E01001139,E09000008
E01001140,E09000008
E01001141,E09000008
E01001142,E09000008
E01001143,E09000008
E01001144,E09000008
E01001145,E09000008
E01001146,E09000008
E01001147,E09000008
E01001148,E09000008
E01001149,E09000008
E01001150,E09000008
E01001151,E09000008
E01001152,E09000008
E01001153,E09000008
E01001154,E09000008
E01001155,E09000008
E01001156,E09000008
E01001157,E09000008
E01001158,E09000008
E01001159,E09000008
E01001160,E09000008
E01001161,E09000008
E01001162,E09000008
E01001163,E09000008
E01001164,E09000008
E01001165,E09000008
E01001166,E09000008
E01001167,E09000008
E01001168,E09000008
E01001169,E09000008
E01001170,E09000008
E01001171,E09000008
E01001172,E09000008
E01001173,E09000008
E01001174,E09000008
E01001175,E09000008
E01001176,E09000008
E01001177,E09000008
E01001178,E09000008
E01001179,E09000008
E01001180,E09000008
E01001181,E09000008
E01001182,E09000008
E01001183,E09000008
E01001184,E09000008
E01001185,E09000008
E01001186,E09000008
E01001187,E09000008
E01001188,E09000008
E01001189,E09000008
E01001190,E09000008
E01001191,E09000008
E01001192,E09000008
E01001193,E09000008
E01001194,E09000008
E01001195,E09000009
E01001196,E09000009
E01001197,E09000009
E01001198,E09000009
E01001199,E09000009
E01001200,E09000009
E01001201,E09000009
E01001202,E09000009
E01001203,E09000009
E01001204,E09000009
E01001205,E09000009
E01001206,E09000009
E01001207,E09000009
E01001208,E09000009
E01001209,E09000009
E01001210,E09000009
E01001211,E09000009
E01001212,E09000009
E01001213,E09000009
E01001214,E09000009
E01001215,E09000009
E01001216,E09000009
E01001217,E09000009
E01001218,E09000009
E01001219,E09000009
E01001220,E09000009
E01001221,E09000009
E01001222,E09000009
E01001223,E09000009
E01001224,E09000009
E01001225,E09000009
E01001226,E09000009
E01001227,E09000009
E01001228,E09000009
E01001229,E09000009
E01001230,E09000009
E01001231,E09000009
E01001232,E09000009
E01001233,E09000009
E01001234,E09000009
E01001235,E09000009
E01001236,E09000009
E01001237,E09000009
E01001238,E09000009
E01001239,E09000009
E01001240,E09000009
E01001241,E09000009
E01001242,E09000009
E01001243,E09000009
E01001244,E09000009
E01001245,E09000009
E01001246,E09000009
E01001247,E09000009
E01001248,E09000009
E01001249,E09000009
E01001250,E09000009
E01001251,E09000009
E01001252,E09000009
E01001253,E09000009
E01001254,E09000009
E01001255,E09000009
E01001257,E09000009
E01001258,E09000009
E01001259,E09000009
E01001260,E09000009
E01001261,E09000009
E01001262,E09000009
E01001263,E09000009
E01001264,E09000009
E01001265,E09000009
E01001266,E09000009
E01001267,E09000009
E01001268,E09000009
E01001269,E09000009
E01001270,E09000009
E01001271,E09000009
E01001272,E09000009
E01001273,E09000009
E01001274,E09000009
E01001275,E09000009
E01001276,E09000009
E01001277,E09000009
E01001278,E09000009
E01001279,E09000009
E01001280,E09000009
E01001281,E09000009
E01001282,E09000009
E01001283,E09000009
E01001284,E09000009
E01001285,E09000009
E01001286,E09000009
E01001287,E09000009
E01001288,E09000009
E01001289,E09000009
E01001290,E09000009
E01001291,E09000009
E01001292,E09000009
E01001293,E09000009
E01001294,E09000009
E01001295,E09000009
E01001296,E09000009
E01001297,E09000009
E01001298,E09000009
E01001299,E09000009
E01001300,E09000009
E01001301,E09000009
E01001302,E09000009
E01001303,E09000009
E01001304,E09000009
E01001305,E09000009
E01001306,E09000009
E01001307,E09000009
E01001308,E09000009
E01001309,E09000009
E01001310,E09000009
E01001311,E09000009
E01001312,E09000009
E01001313,E09000009
E01001314,E09000009
E01001315,E09000009
E01001316,E09000009
E01001317,E09000009
E01001318,E09000009
E01001319,E09000009
E01001320,E09000009
E01001321,E09000009
E01001322,E09000009
E01001323,E09000009
E01001324,E09000009
E01001325,E09000009
E01001326,E09000009
E01001327,E09000009
E01001328,E09000009
E01001329,E09000009
E01001330,E09000009
E01001331,E09000009
E01001332,E09000009
E01001333,E09000009
E01001334,E09000009
E01001335,E09000009
E01001336,E09000009
E01001337,E09000009
E01001338,E09000009
E01001339,E09000009
E01001340,E09000009
E01001341,E09000009
E01001342,E09000009
E01001343,E09000009
E01001344,E09000009
E01001345,E09000009
E01001346,E09000009
E01001347,E09000009
E01001348,E09000009
E01001349,E09000009
E01001350,E09000009
E01001351,E09000009
E01001352,E09000009
E01001353,E09000009
E01001354,E09000009
E01001355,E09000009
E01001356,E09000009
E01001357,E09000009
E01001358,E09000009
E01001359,E09000009
E01001360,E09000009
E01001361,E09000009
E01001362,E09000009
E01001363,E09000009
E01001364,E09000009
E01001365,E09000009
E01001366,E09000009
E01001367,E09000009
E01001368,E09000009
E01001369,E09000009
E01001370,E09000009
E01001371,E09000009
E01001372,E09000009
E01001373,E09000009
E01001374,E09000009
E01001375,E09000009
E01001376,E09000009
E01001377,E09000009
E01001379,E09000009
E01001380,E09000009
E01001381,E09000009
E01001382,E09000009
E01001383,E09000009
E01001384,E09000009
E01001385,E09000009
E01001386,E09000009
E01001387,E09000009
E01001388,E09000009
E01001389,E09000009
E01001390,E09000010
E01001391,E09000010
E01001392,E09000010
E01001393,E09000010
E01001394,E09000010
E01001395,E09000010
E01001396,E09000010
E01001397,E09000010
E01001398,E09000010
E01001399,E09000010
E01001400,E09000010
E01001401,E09000010
E01001402,E09000010
